"市町村名","総　数","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月"
"和歌山市","838654.0","54153.0","58739.0","72697.0","71726.0","69745.0","61666.0","71769.0","89809.0","79539.0","80731.0","67215.0","60865.0"
"和歌山市_加太・友ヶ島","132706.0","9881.0","10720.0","13334.0","11166.0","10652.0","7923.0","11620.0","15991.0","12237.0","11359.0","9081.0","8742.0"
"和歌山市_和歌浦・市街地","705948.0","44272.0","48019.0","59363.0","60560.0","59093.0","53743.0","60149.0","73818.0","67302.0","69372.0","58134.0","52123.0"
"海 南 市","4926.0","304.0","366.0","262.0","362.0","399.0","304.0","344.0","481.0","532.0","656.0","469.0","447.0"
"海 南 市_旧海南市","4600.0","304.0","366.0","252.0","358.0","379.0","299.0","323.0","437.0","515.0","527.0","398.0","442.0"
"海 南 市_旧下津町","326.0","0.0","0.0","10.0","4.0","20.0","5.0","21.0","44.0","17.0","129.0","71.0","5.0"
"紀美野町","36689.0","996.0","1036.0","2376.0","2198.0","3533.0","2124.0","4474.0","7730.0","4819.0","3731.0","2012.0","1660.0"
"紀美野町_旧野上町","3648.0","6.0","0.0","102.0","206.0","650.0","209.0","318.0","509.0","800.0","588.0","224.0","36.0"
"紀美野町_旧美里町","33041.0","990.0","1036.0","2274.0","1992.0","2883.0","1915.0","4156.0","7221.0","4019.0","3143.0","1788.0","1624.0"
"紀の川市","11774.0","468.0","558.0","691.0","767.0","1109.0","896.0","1725.0","2120.0","994.0","1249.0","841.0","356.0"
"紀の川市_旧打田町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"紀の川市_旧粉河町","7879.0","459.0","532.0","628.0","658.0","648.0","516.0","1098.0","753.0","511.0","1034.0","711.0","331.0"
"紀の川市_旧那賀町","436.0","5.0","13.0","7.0","53.0","17.0","69.0","67.0","66.0","69.0","34.0","28.0","8.0"
"紀の川市_旧桃山町","3160.0","4.0","13.0","56.0","45.0","435.0","301.0","497.0","1224.0","359.0","127.0","82.0","17.0"
"紀の川市_旧貴志川町","299.0","0.0","0.0","0.0","11.0","9.0","10.0","63.0","77.0","55.0","54.0","20.0","0.0"
"岩 出 市","40801.0","2016.0","2589.0","3696.0","3912.0","3423.0","3308.0","4106.0","4421.0","3394.0","4371.0","3497.0","2068.0"
"橋 本 市","68706.0","3919.0","4017.0","5452.0","6246.0","6914.0","5175.0","5752.0","7046.0","6147.0","6972.0","5930.0","5136.0"
"橋 本 市_旧橋本市","68706.0","3919.0","4017.0","5452.0","6246.0","6914.0","5175.0","5752.0","7046.0","6147.0","6972.0","5930.0","5136.0"
"橋 本 市_旧高野口町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"九度山町","897.0","27.0","36.0","62.0","110.0","129.0","52.0","51.0","85.0","99.0","121.0","89.0","36.0"
"高 野 町","440422.0","4919.0","3784.0","18543.0","101039.0","89686.0","26490.0","30400.0","31600.0","34436.0","63575.0","29895.0","6055.0"
"かつらぎ町","34931.0","1265.0","1053.0","2079.0","3306.0","3777.0","3059.0","3894.0","5644.0","3503.0","3335.0","2599.0","1417.0"
"かつらぎ町_旧かつらぎ町","30509.0","1258.0","1032.0","1971.0","2992.0","3183.0","2970.0","3302.0","3810.0","2837.0","3238.0","2511.0","1405.0"
"かつらぎ町_旧花園村","4422.0","7.0","21.0","108.0","314.0","594.0","89.0","592.0","1834.0","666.0","97.0","88.0","12.0"
"有 田 市","28522.0","1421.0","2139.0","2402.0","1284.0","1975.0","1480.0","2552.0","4112.0","2806.0","4193.0","2432.0","1726.0"
"湯 浅 町","47945.0","1817.0","2844.0","5111.0","2179.0","2889.0","4174.0","3506.0","7894.0","4570.0","4995.0","2642.0","5324.0"
"広 川 町","2256.0","163.0","106.0","159.0","152.0","271.0","257.0","251.0","319.0","240.0","157.0","115.0","66.0"
"有田川町","25447.0","693.0","654.0","1234.0","1205.0","2029.0","1220.0","3389.0","8388.0","2676.0","1643.0","1316.0","1000.0"
"有田川町_旧吉備町","3351.0","90.0","193.0","330.0","338.0","251.0","238.0","358.0","275.0","443.0","257.0","305.0","273.0"
"有田川町_旧金屋町","2092.0","143.0","115.0","186.0","90.0","185.0","158.0","191.0","156.0","236.0","241.0","216.0","175.0"
"有田川町_旧清水町","20004.0","460.0","346.0","718.0","777.0","1593.0","824.0","2840.0","7957.0","1997.0","1145.0","795.0","552.0"
"御 坊 市","63353.0","3795.0","4063.0","5782.0","5947.0","7062.0","4126.0","4801.0","6434.0","6538.0","5859.0","5058.0","3888.0"
"美 浜 町","9602.0","681.0","608.0","699.0","745.0","1763.0","608.0","712.0","1100.0","718.0","706.0","650.0","612.0"
"日 高 町","39300.0","1900.0","2200.0","1800.0","2000.0","4800.0","4000.0","5000.0","5400.0","3900.0","3200.0","2500.0","2600.0"
"由 良 町","30734.0","719.0","486.0","2085.0","1480.0","3959.0","2605.0","3391.0","7011.0","4144.0","2483.0","1412.0","959.0"
"日高川町","28169.0","952.0","783.0","2535.0","1107.0","2821.0","1261.0","3198.0","5786.0","3151.0","2358.0","2276.0","1941.0"
"日高川町_旧川辺町","11879.0","471.0","314.0","1321.0","464.0","1404.0","378.0","1160.0","2423.0","1111.0","810.0","936.0","1087.0"
"日高川町_旧中津村","11703.0","338.0","338.0","819.0","451.0","1014.0","659.0","1569.0","2582.0","1419.0","940.0","1007.0","567.0"
"日高川町_旧美山村","4587.0","143.0","131.0","395.0","192.0","403.0","224.0","469.0","781.0","621.0","608.0","333.0","287.0"
"みなべ町","197311.0","10310.0","13430.0","17623.0","18800.0","18499.0","13909.0","16936.0","25440.0","15818.0","19411.0","14529.0","12606.0"
"みなべ町_旧南部川村","3362.0","263.0","303.0","148.0","40.0","198.0","121.0","236.0","520.0","485.0","313.0","339.0","396.0"
"みなべ町_旧南部町","193949.0","10047.0","13127.0","17475.0","18760.0","18301.0","13788.0","16700.0","24920.0","15333.0","19098.0","14190.0","12210.0"
"印 南 町","2947.0","68.0","120.0","228.0","118.0","245.0","137.0","345.0","604.0","529.0","256.0","241.0","56.0"
"田 辺 市","443532.0","23716.0","21821.0","33408.0","33074.0","44233.0","25687.0","36963.0","68257.0","45417.0","45261.0","36618.0","29077.0"
"田 辺 市_旧田辺市","223796.0","14228.0","13920.0","20041.0","16132.0","19095.0","14176.0","21467.0","31536.0","20781.0","22094.0","15676.0","14650.0"
"田 辺 市_旧龍神村","60682.0","2147.0","1656.0","3282.0","4939.0","7558.0","3709.0","4388.0","9752.0","6434.0","7678.0","5920.0","3219.0"
"田 辺 市_旧中辺路町","13466.0","462.0","391.0","934.0","1126.0","1709.0","905.0","1113.0","2247.0","1477.0","1288.0","1089.0","725.0"
"田 辺 市_旧大塔村","6656.0","16.0","38.0","37.0","75.0","311.0","290.0","1520.0","3539.0","729.0","64.0","29.0","8.0"
"田 辺 市_旧本宮町","138932.0","6863.0","5816.0","9114.0","10802.0","15560.0","6607.0","8475.0","21183.0","15996.0","14137.0","13904.0","10475.0"
"","27712.0","1635.0","1605.0","3707.0","1876.0","2345.0","1001.0","3054.0","4730.0","2029.0","1970.0","1936.0","1824.0"
"白 浜 町","2092119.0","134109.0","148553.0","192053.0","163349.0","175952.0","146296.0","217711.0","239739.0","180108.0","180111.0","159652.0","154486.0"
"白 浜 町_旧白浜町","2064264.0","132565.0","146762.0","190166.0","161916.0","172742.0","144785.0","215168.0","235111.0","177210.0","177493.0","157087.0","153259.0"
"白 浜 町_旧日置川町","27855.0","1544.0","1791.0","1887.0","1433.0","3210.0","1511.0","2543.0","4628.0","2898.0","2618.0","2565.0","1227.0"
"すさみ町","39819.0","2702.0","2573.0","3344.0","2653.0","3352.0","2183.0","3793.0","5584.0","3448.0","3492.0","3507.0","3188.0"
"新 宮 市","133078.0","9441.0","9550.0","12646.0","8798.0","11841.0","8080.0","9883.0","17195.0","12058.0","11424.0","11224.0","10938.0"
"新 宮 市_旧新宮市","128514.0","9384.0","9520.0","12250.0","8379.0","11232.0","7960.0","9602.0","16152.0","11472.0","10894.0","10838.0","10831.0"
"新 宮 市_旧熊野川町","4564.0","57.0","30.0","396.0","419.0","609.0","120.0","281.0","1043.0","586.0","530.0","386.0","107.0"
"那智勝浦町","665181.0","43622.0","40714.0","63074.0","48817.0","58373.0","37769.0","46168.0","89317.0","56216.0","63736.0","66094.0","51281.0"
"太 地 町","20056.0","863.0","514.0","1499.0","1128.0","1955.0","720.0","2074.0","4131.0","2005.0","1750.0","1785.0","1632.0"
"古座川町","6383.0","502.0","259.0","438.0","376.0","661.0","493.0","631.0","1148.0","612.0","482.0","387.0","394.0"
"北 山 村","7596.0","173.0","133.0","372.0","319.0","916.0","336.0","653.0","2097.0","1134.0","1081.0","258.0","124.0"
"串 本 町","297244.0","25860.0","16953.0","28254.0","20122.0","30581.0","19644.0","19295.0","37553.0","24158.0","26423.0","19661.0","28740.0"
"串 本 町_旧串本町","280524.0","24646.0","15837.0","27080.0","19357.0","28994.0","18732.0","17873.0","33887.0","22656.0","25182.0","18716.0","27564.0"
"串 本 町_旧古座町","16720.0","1214.0","1116.0","1174.0","765.0","1587.0","912.0","1422.0","3666.0","1502.0","1241.0","945.0","1176.0"
"合　　　計","5686106.0","333209.0","342286.0","484311.0","505195.0","555237.0","379060.0","506821.0","691175.0","505738.0","545732.0","446840.0","390502.0"
